"","re","maxconc"
"1",1,297
"2",2,350
"3",3,350
"4",4,352
"5",5,350
"6",6,350
"7",7,350
"8",8,352
"9",9,350
"10",10,350
"11",11,350
"12",12,352
"13",13,350
"14",14,350
"15",15,350
"16",16,352
"17",17,350
"18",18,350
"19",19,350
"20",20,360
"21",21,350
"22",22,350
"23",23,350
"24",24,352
"25",25,350
"26",26,350
"27",27,350
"28",28,352
"29",29,350
"30",30,350
"31",31,350
"32",32,352
"33",33,350
"34",34,350
"35",35,350
"36",36,352
"37",37,350
"38",38,350
"39",39,350
"40",40,360
"41",41,350
"42",42,350
"43",43,350
"44",44,352
"45",45,350
"46",46,350
"47",47,350
"48",48,352
"49",49,350
"50",50,350
"51",51,350
"52",52,352
"53",53,350
"54",54,350
"55",55,350
"56",56,352
"57",57,350
"58",58,350
"59",59,350
"60",60,360
"61",61,350
"62",62,350
"63",63,350
"64",64,352
"65",65,350
"66",66,350
"67",67,350
"68",68,352
"69",69,350
"70",70,350
"71",71,350
"72",72,352
"73",73,350
"74",74,350
"75",75,350
"76",76,352
"77",77,350
"78",78,350
"79",79,350
"80",80,360
