"","re","maxconc"
"1",1,297
"2",2,300
"3",3,300
"4",4,300
"5",5,300
"6",6,300
"7",7,300
"8",8,300
"9",9,300
"10",10,300
"11",11,300
"12",12,300
"13",13,300
"14",14,300
"15",15,300
"16",16,300
"17",17,300
"18",18,300
"19",19,300
"20",20,300
"21",21,300
"22",22,300
"23",23,300
"24",24,300
"25",25,300
"26",26,300
"27",27,300
"28",28,300
"29",29,300
"30",30,300
"31",31,300
"32",32,300
"33",33,300
"34",34,300
"35",35,300
"36",36,300
"37",37,300
"38",38,300
"39",39,300
"40",40,300
"41",41,300
"42",42,300
"43",43,300
"44",44,300
"45",45,300
"46",46,300
"47",47,300
"48",48,300
"49",49,300
"50",50,300
"51",51,300
"52",52,300
"53",53,300
"54",54,300
"55",55,300
"56",56,300
"57",57,300
"58",58,300
"59",59,300
"60",60,300
"61",61,300
"62",62,300
"63",63,300
"64",64,300
"65",65,300
"66",66,300
"67",67,300
"68",68,300
"69",69,300
"70",70,300
"71",71,300
"72",72,300
"73",73,300
"74",74,300
"75",75,300
"76",76,300
"77",77,300
"78",78,300
"79",79,300
"80",80,300
