Time,Duration
2016-06-06 15:30:32.998,607776.06
2016-06-06 15:25:32.991,607530.31
2016-06-06 15:28:23.180,607356.0
2016-06-06 15:24:03.201,607321.12
2016-06-06 15:17:23.246,607269.38
2016-06-06 15:22:23.250,607270.75
2016-06-06 15:27:23.256,607280.94
2016-06-06 15:12:23.255,607257.19
2016-06-06 15:30:23.517,607006.56
2016-06-06 15:25:23.512,607008.31
2016-06-06 15:20:23.516,607003.44
2016-06-06 15:17:13.743,606767.69
2016-06-06 15:25:13.777,606738.38
2016-06-06 15:00:53.911,606590.75
2016-06-06 15:00:53.933,606568.25
2016-06-06 15:19:34.101,606417.81
2016-06-06 15:14:34.098,606416.0
2016-06-06 15:24:34.103,606417.38
2016-06-06 15:29:34.110,606417.88
2016-06-06 15:09:34.095,606411.88
2016-06-06 15:04:34.097,606410.12
2016-06-06 15:30:34.342,606431.56
2016-06-06 15:25:34.337,606184.25
2016-06-06 15:28:04.344,606195.69
2016-06-06 15:23:04.341,606177.94
2016-06-06 15:18:04.337,606177.06
2016-06-06 15:30:14.512,606007.69
2016-06-06 15:28:44.903,605635.56
2016-06-06 15:23:44.899,605622.0
2016-06-06 15:18:44.898,605619.62
2016-06-06 15:23:25.360,605159.44
2016-06-06 15:18:25.359,605156.5
2016-06-06 15:28:25.366,605170.56
2016-06-06 15:16:05.595,604918.69
2016-06-06 15:11:05.592,604916.69
2016-06-06 15:06:05.591,604914.56
2016-06-06 15:24:15.759,604756.62
2016-06-06 15:19:15.759,604753.62
2016-06-06 15:29:15.766,604756.69
2016-06-06 15:14:15.758,604749.62
2016-06-06 15:21:55.960,604562.5
2016-06-06 15:16:55.955,604556.5
2016-06-06 15:01:55.947,604555.25
2016-06-06 15:11:55.954,604556.44
2016-06-06 14:56:55.947,604552.44
2016-06-06 15:06:55.954,604551.38
2016-06-06 14:53:46.002,604500.12
2016-06-06 15:13:46.026,604486.5
2016-06-06 15:08:46.023,604483.69
2016-06-06 15:03:46.020,604484.69
2016-06-06 15:22:46.147,604375.38
2016-06-06 15:27:46.151,604387.31
2016-06-06 15:17:46.146,604370.12
2016-06-06 15:12:46.147,604363.0
2016-06-06 15:01:06.369,604133.31
2016-06-06 15:16:36.381,604134.12
2016-06-06 15:26:36.389,604143.5
2016-06-06 15:11:36.383,604130.25
2016-06-06 15:24:36.471,604049.94
2016-06-06 15:14:36.465,604048.38
2016-06-06 15:19:36.469,604049.62
2016-06-06 15:04:36.461,604046.94
2016-06-06 14:59:36.459,604046.69
2016-06-06 15:09:36.463,604043.88
2016-06-06 15:30:36.754,604021.19
2016-06-06 15:21:57.271,603251.38
2016-06-06 15:30:37.537,603239.38
2016-06-06 15:03:57.373,603131.88
2016-06-06 15:03:48.501,602002.94
2016-06-06 15:26:39.581,600951.12
2016-06-06 15:31:12.181,568591.06
2016-06-06 15:31:19.744,561027.44
2016-06-06 15:31:28.429,552337.44
2016-06-06 15:31:36.394,544371.62
2016-06-06 15:31:39.586,541181.25
2016-06-06 15:31:50.379,530385.5
2016-06-06 15:31:57.272,523489.81
2016-06-06 15:31:58.189,522570.91
2016-06-06 15:32:23.258,497498.47
2016-06-06 15:32:46.156,474597.88
2016-06-06 15:32:48.604,472152.72
2016-06-06 15:32:57.153,463599.56
2016-06-06 15:33:04.349,456400.44
2016-06-06 15:33:17.677,443072.72
2016-06-06 15:33:20.096,440647.12
2016-06-06 15:33:23.180,437560.66
2016-06-06 15:33:25.369,435374.31
2016-06-06 15:33:32.125,428614.5
2016-06-06 15:33:40.634,420105.03
2016-06-06 15:33:45.462,415274.94
2016-06-06 15:34:01.264,399471.22
2016-06-06 15:34:02.308,398425.75
2016-06-06 15:34:07.904,392830.25
2016-06-06 15:34:15.768,384963.0
2016-06-06 15:34:20.881,379845.03
2016-06-06 15:34:29.538,371189.09
2016-06-06 15:34:31.510,369213.28
2016-06-06 15:34:32.314,368393.69
2016-06-06 15:34:39.550,361154.91
2016-06-06 15:34:48.755,351949.31
2016-06-06 15:34:57.588,343114.62
2016-06-06 15:35:00.384,340317.72
2016-06-06 15:35:09.372,331327.0
2016-06-06 15:35:12.104,328592.28
2016-06-06 15:35:15.501,325144.97
2016-06-06 15:35:23.518,317124.53
2016-06-06 15:35:31.955,308686.94
2016-06-06 15:35:32.998,307642.22
2016-06-06 15:35:34.343,306295.25
2016-06-06 15:35:36.755,303884.75
2016-06-06 15:35:37.539,303101.16
2016-06-06 15:36:19.754,260890.95
2016-06-06 15:36:28.442,252202.25
2016-06-06 15:36:36.406,244236.42
2016-06-06 15:36:39.599,241042.73
2016-06-06 15:36:50.392,230247.88
2016-06-06 15:36:57.284,223353.98
2016-06-06 15:36:58.202,222398.0
2016-06-06 15:37:23.277,197323.03
2016-06-06 15:37:46.172,174427.0
2016-06-06 15:37:49.560,171038.42
2016-06-06 15:37:57.169,163428.64
2016-06-06 15:38:04.365,156231.05
2016-06-06 15:38:17.803,142792.02
2016-06-06 15:38:20.119,140473.44
2016-06-06 15:38:23.198,137389.53
2016-06-06 15:38:25.386,135205.33
2016-06-06 15:38:32.142,128443.63
2016-06-06 15:38:40.651,119934.15
2016-06-06 15:38:44.927,115657.19
2016-06-06 15:39:01.271,99303.22
2016-06-06 15:39:02.316,98257.26
2016-06-06 15:39:07.914,92658.22
2016-06-06 15:39:15.778,84793.24
2016-06-06 15:39:20.888,79673.74
2016-06-06 15:39:29.545,71015.44
2016-06-06 15:39:31.517,69035.01
2016-06-06 15:39:32.323,68227.7
2016-06-06 15:39:39.502,61046.54
2016-06-06 15:39:42.576,57971.9
2016-06-06 15:39:49.442,51104.37
2016-06-06 15:39:55.342,45203.62
2016-06-06 15:39:57.598,42946.77
2016-06-06 15:40:00.390,40152.67
2016-06-06 15:40:04.765,35776.81
2016-06-06 15:40:09.382,31154.24
2016-06-06 15:40:11.619,28915.81
2016-06-06 15:40:12.111,28421.54
2016-06-06 15:42:56.407,12120.45
2016-06-06 15:27:25.223,363.5
2016-06-06 15:43:09.142,149.96
2016-06-06 15:43:10.178,148.41
2016-06-06 15:44:00.602,138.69
2016-06-06 15:25:00.548,134.34
2016-06-06 15:18:10.495,133.57
2016-06-06 15:24:48.610,132.32
2016-06-06 15:15:00.611,132.2
2016-06-06 15:06:13.623,131.71
2016-06-06 15:38:05.642,130.0
2016-06-06 15:03:01.349,129.45
2016-06-06 15:17:00.541,129.23
2016-06-06 15:39:00.530,129.17
2016-06-06 15:27:27.394,128.79
2016-06-06 15:30:07.918,127.94
2016-06-06 15:35:25.042,127.68
2016-06-06 15:04:31.322,127.67
2016-06-06 15:37:00.578,126.74
2016-06-06 15:32:47.567,126.0
2016-06-06 15:07:00.610,125.39
2016-06-06 15:06:00.567,125.18
2016-06-06 15:19:00.536,125.12
2016-06-06 15:22:05.326,124.77
2016-06-06 15:30:12.407,124.71
2016-06-06 15:08:00.546,124.49
2016-06-06 15:04:01.196,124.01
2016-06-06 15:13:00.531,123.58
2016-06-06 15:40:00.546,123.41
2016-06-06 15:36:00.528,122.96
2016-06-06 15:05:00.554,121.6
2016-06-06 15:30:11.205,121.28
2016-06-06 15:21:00.561,120.23
2016-06-06 15:28:00.559,120.16
2016-06-06 15:26:00.558,119.96
2016-06-06 15:18:11.220,119.67
2016-06-06 15:19:22.526,119.6
2016-06-06 15:06:15.850,118.92
2016-06-06 15:14:00.548,118.76
2016-06-06 15:18:00.558,118.16
2016-06-06 15:00:00.499,117.1
2016-06-06 15:14:03.245,116.57
2016-06-06 15:02:05.835,116.08
2016-06-06 15:12:00.535,114.58
2016-06-06 15:29:01.106,114.49
2016-06-06 15:08:43.671,114.36
2016-06-06 15:01:01.130,114.14
2016-06-06 15:09:00.504,112.82
2016-06-06 15:24:00.529,112.72
2016-06-06 15:32:00.532,111.06
2016-06-06 15:22:01.799,110.0
2016-06-06 15:20:00.555,109.29
2016-06-06 15:27:28.275,109.23
2016-06-06 15:06:07.624,108.1
2016-06-06 15:14:13.928,107.9
2016-06-06 15:31:00.706,107.56
2016-06-06 15:27:32.060,107.19
2016-06-06 15:27:00.531,106.2
2016-06-06 15:34:00.278,105.38
2016-06-06 15:33:00.515,103.7
2016-06-06 15:35:00.488,103.44
2016-06-06 15:16:00.551,102.94
