1	2	8	7	-3348761.602	-2.52488423126
2	2	7	0	-5363650.1668	-2.7294604441268
3	2	20	19	-13701173.827	-3.1367577762623
4	2	19	0	-13701173.827	-3.1367577762623
5	2	1	0	-20667946.5025	-3.3152973287349
6	2	2	1	-22706222.4993	-3.3561448892102
7	2	3	0	-29481900.8171	-3.4695554808073
8	2	15	0	-35502248.3325	-3.5502558574911
9	2	16	15	-46260803.1229	-3.6652131681842
10	2	4	3	-79818581.9371	-3.9021040078083
11	3	384	8	-2148818.4244	-2.3321997190686
12	3	8	7	-3348761.602	-2.52488423126
13	3	7	0	-5363650.1668	-2.7294604441268
14	3	385	7	-5748752.8093	-2.7595736348131
15	3	20	19	-13701173.827	-3.1367577762623
16	3	19	0	-13701173.827	-3.1367577762623
17	3	386	20	-14028343.8295	-3.1470064017365
18	3	389	2	-16306039.0881	-3.2123484790604
19	3	388	1	-16306217.5873	-3.2123532331759
20	3	1	0	-20667946.5025	-3.3152973287349
21	7	796	786	-1031850.3915	-2.0136167332834
22	7	787	384	-2100163.7868	-2.3222531656528
23	7	384	8	-2148818.4244	-2.3321997190686
24	7	777	384	-2148851.4996	-2.3322064037964
25	7	788	777	-2148851.858	-2.332206476231
26	7	792	8	-2963665.1028	-2.4718291263575
27	7	789	781	-3300163.9836	-2.5185355203031
28	7	781	769	-3300163.9836	-2.5185355203031
29	7	794	780	-3300199.6468	-2.5185402134782
30	7	783	759	-3348728.0748	-2.5248798831599
31	13	1216	1195	-665928.4292	-1.8234275557863
32	13	1217	1181	-1024391.2812	-2.0104658734445
33	13	1211	1202	-1031831.8963	-2.0136089487873
34	13	1210	796	-1031841.3979	-2.0136129479595
35	13	1212	1191	-1031841.4364	-2.0136129641639
36	13	796	786	-1031850.3915	-2.0136167332834
37	13	1202	1180	-1031850.4363	-2.0136167521392
38	13	1191	1180	-1031850.4363	-2.0136167521392
39	13	1180	796	-1031850.4363	-2.0136167521392
40	13	1213	1180	-1031873.0155	-2.0136262553718
41	14	1585	1211	-631826.6159	-1.8005979167496
42	14	1586	1210	-632853.4587	-1.8013031579703
43	14	1216	1195	-665928.4292	-1.8234275557863
44	14	1217	1181	-1024391.2812	-2.0104658734445
45	14	1211	1202	-1031831.8963	-2.0136089487873
46	14	1210	796	-1031841.3979	-2.0136129479595
47	14	1587	1212	-1031841.4364	-2.0136129641639
48	14	1212	1191	-1031841.4364	-2.0136129641639
49	14	1589	1202	-1031850.0521	-2.0136165904336
50	14	1588	796	-1031850.3915	-2.0136167332834
51	15	1956	1585	-631826.4335	-1.8005977913745
52	15	1585	1211	-631826.6159	-1.8005979167496
53	15	1957	1586	-632853.4587	-1.8013031579703
54	15	1586	1210	-632853.4587	-1.8013031579703
55	15	1216	1195	-665928.4292	-1.8234275557863
56	15	1217	1181	-1024391.2812	-2.0104658734445
57	15	1960	1211	-1031831.1885	-2.0136086508766
58	15	1211	1202	-1031831.8963	-2.0136089487873
59	15	1210	796	-1031841.3979	-2.0136129479595
60	15	1962	1587	-1031841.4364	-2.0136129641639
61	16	2329	1956	-631825.7174	-1.8005972991532
62	16	1956	1585	-631826.4335	-1.8005977913745
63	16	1585	1211	-631826.6159	-1.8005979167496
64	16	1957	1586	-632853.4587	-1.8013031579703
65	16	1586	1210	-632853.4587	-1.8013031579703
66	16	1216	1195	-665928.4292	-1.8234275557863
67	16	2332	1586	-963652.8059	-1.9839205902913
68	16	1217	1181	-1024391.2812	-2.0104658734445
69	16	1960	1211	-1031831.1885	-2.0136086508766
70	16	2336	1211	-1031831.8963	-2.0136089487873
71	19	2729	2717	-432853.6315	-1.6363410654569
72	19	2329	1956	-631825.7174	-1.8005972991532
73	19	2715	1585	-631825.8998	-1.8005974245284
74	19	2714	1956	-631826.4335	-1.8005977913745
75	19	2703	1956	-631826.4335	-1.8005977913745
76	19	1956	1585	-631826.4335	-1.8005977913745
77	19	1585	1211	-631826.6159	-1.8005979167496
78	19	2726	1956	-631826.6319	-1.8005979277474
79	19	2723	2715	-632825.2854	-1.8012838236665
80	19	2725	2703	-632825.8191	-1.8012841899332
81	22	3115	3095	-263200.2187	-1.4202862458088
82	22	3095	2729	-432853.6315	-1.6363410654569
83	22	2729	2717	-432853.6315	-1.6363410654569
84	22	2329	1956	-631825.7174	-1.8005972991532
85	22	2715	1585	-631825.8998	-1.8005974245284
86	22	3097	2715	-631826.303	-1.8005977016736
87	22	3122	1956	-631826.4335	-1.8005977913745
88	22	2714	1956	-631826.4335	-1.8005977913745
89	22	2703	1956	-631826.4335	-1.8005977913745
90	22	1956	1585	-631826.4335	-1.8005977913745
91	24	3498	3115	-262187.9687	-1.4186127588755
92	24	3115	3095	-263200.2187	-1.4202862458088
93	24	3506	3122	-400024.9359	-1.6020870642935
94	24	3499	3095	-432852.8211	-1.6363402523585
95	24	3095	2729	-432853.6315	-1.6363410654569
96	24	2729	2717	-432853.6315	-1.6363410654569
97	24	3500	2729	-563205.6507	-1.7506670034769
98	24	3501	2329	-631825.7174	-1.8005972991532
99	24	2329	1956	-631825.7174	-1.8005972991532
100	24	3502	3493	-631825.8342	-1.8005973794373
101	25	3871	3498	-200027.0727	-1.3010887793066
102	25	3498	3115	-262187.9687	-1.4186127588755
103	25	3115	3095	-263200.2187	-1.4202862458088
104	25	3506	3122	-400024.9359	-1.6020870642935
105	25	3499	3095	-432852.8211	-1.6363402523585
106	25	3095	2729	-432853.6315	-1.6363410654569
107	25	2729	2717	-432853.6315	-1.6363410654569
108	25	3873	3506	-562185.5247	-1.7498796590874
109	25	3500	2729	-563205.6507	-1.7506670034769
110	25	3879	2329	-631825.7174	-1.8005972991532
111	27	4257	3115	-132108.5586	-1.1209309541198
112	27	4244	3871	-200027.0727	-1.3010887793066
113	27	3871	3498	-200027.0727	-1.3010887793066
114	27	4254	4244	-201025.8815	-1.3032519751769
115	27	3498	3115	-262187.9687	-1.4186127588755
116	27	3115	3095	-263200.2187	-1.4202862458088
117	27	4256	3498	-362187.6039	-1.5589335822289
118	27	4255	3871	-362187.6615	-1.5589336512963
119	27	4258	3506	-400022.1135	-1.6020840000919
120	27	3506	3122	-400024.9359	-1.6020870642935
121	29	4637	4257	-132096.749	-1.1208921294333
122	29	4257	3115	-132108.5586	-1.1209309541198
123	29	4627	4257	-132108.5594	-1.1209309567497
124	29	4638	4627	-132111.4202	-1.1209403612592
125	29	4244	3871	-200027.0727	-1.3010887793066
126	29	3871	3498	-200027.0727	-1.3010887793066
127	29	4254	4244	-201025.8815	-1.3032519751769
128	29	4631	3498	-262187.5144	-1.4186120063613
129	29	3498	3115	-262187.9687	-1.4186127588755
130	29	4644	3115	-263197.1915	-1.4202812507377
131	31	5020	4637	-132094.2594	-1.1208839442983
132	31	4637	4257	-132096.749	-1.1208921294333
133	31	5024	5013	-132102.6274	-1.120911455419
134	31	5022	4627	-132108.5586	-1.1209309541198
135	31	4257	3115	-132108.5586	-1.1209309541198
136	31	4627	4257	-132108.5594	-1.1209309567497
137	31	5023	4638	-132108.5664	-1.1209309797616
138	31	4638	4627	-132111.4202	-1.1209403612592
139	31	5013	4638	-132111.6218	-1.1209410239855
140	31	5025	5015	-200024.3527	-1.3010828736609
141	32	5394	4637	-65554.2018	-0.81660053370834
142	32	5020	4637	-132094.2594	-1.1208839442983
143	32	4637	4257	-132096.749	-1.1208921294333
144	32	5024	5013	-132102.6274	-1.120911455419
145	32	5022	4627	-132108.5586	-1.1209309541198
146	32	4257	3115	-132108.5586	-1.1209309541198
147	32	4627	4257	-132108.5594	-1.1209309567497
148	32	5023	4638	-132108.5664	-1.1209309797616
149	32	4638	4627	-132111.4202	-1.1209403612592
150	32	5013	4638	-132111.6218	-1.1209410239855
151	38	5823	5811	-65547.4875	-0.81655604940828
152	38	5394	4637	-65554.2018	-0.81660053370834
153	38	5808	5784	-100026.7662	-1.0001162285753
154	38	5797	5784	-100026.7662	-1.0001162285753
155	38	5784	4257	-100026.7662	-1.0001162285753
156	38	5817	5808	-100026.8178	-1.0001164526113
157	38	5818	5797	-100026.9646	-1.0001170899842
158	38	5819	5784	-100029.4286	-1.0001277879837
159	38	5020	4637	-132094.2594	-1.1208839442983
160	38	5778	5766	-132095.373	-1.1208876055346
161	42	6219	5823	-16390.6103	-0.21459512471069
162	42	5823	5811	-65547.4875	-0.81655604940828
163	42	6210	6201	-65553.6898	-0.81659714171153
164	42	6201	5394	-65553.6898	-0.81659714171153
165	42	6222	6211	-65554.2018	-0.81660053370834
166	42	6223	6190	-65554.2018	-0.81660053370834
167	42	6211	6190	-65554.2018	-0.81660053370834
168	42	6190	5394	-65554.2018	-0.81660053370834
169	42	5394	4637	-65554.2018	-0.81660053370834
170	42	6224	5394	-65554.4002	-0.81660184809998
171	49	6659	6637	-16390.5979	-0.21459479615345
172	49	6622	6219	-16390.6103	-0.21459512471069
173	49	6219	5823	-16390.6103	-0.21459512471069
174	49	6653	6219	-17391.3271	-0.24033272347575
175	49	6652	6622	-32777.1191	-0.51557077919312
176	49	6654	6623	-33776.3091	-0.52861219037767
177	49	6623	6603	-33777.3587	-0.52862568588437
178	49	6634	6623	-33778.1563	-0.5286359409547
179	49	6644	6623	-33778.2139	-0.52863668153215
180	49	6646	6635	-65547.1298	-0.81655367940806
181	51	7037	6219	-16390.4367	-0.21459052488677
182	51	6659	6637	-16390.5979	-0.21459479615345
