Onderwerp	Begindatum	Begintijd	Einddatum	Eindtijd	Beschrijving
"Paradise Now  Hany Abu-Assad  "	11-10-2006	20:00	11-10-2006	22:00	"De jonge Palestijnse vrienden Khaled en Said zijn ‘uitverkoren’ om een martelaarsoperatie uit te voeren in Tel Aviv. Na een laatste avond met hun familie, waarvan ze geen afscheid mogen nemen, vertrekken ze met bommen op hun lichaam naar de grenspost. De Nederlands-Palestijnse regisseur Hany Abu-Assad maakte deze film in Nablus. Paradise Now is een poging het fenomeen van de zelfmoordaanslagen te doorgronden. Hany Abu-Assad geeft legitieme redenen om in verzet te komen, maar praat het doden van mensen daarvoor niet goed.
Frankrijk/ Duitsland/ Nederland | 90 minuten | 2005 | met Kais Nashef, Ali Suleiman, Lubna Azabal"
"Morir en San Hilario  Laura Mañá  "	12-10-2006	19:30	12-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"Morir en San Hilario  Laura Mañá  "	13-10-2006	19:30	13-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"Morir en San Hilario  Laura Mañá  "	14-10-2006	19:30	14-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"Morir en San Hilario  Laura Mañá  "	15-10-2006	19:30	15-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"Morir en San Hilario  Laura Mañá  "	16-10-2006	19:30	16-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"Morir en San Hilario  Laura Mañá  "	18-10-2006	19:30	18-10-2006	21:30	"In San Hilario kun je sterven in stijl. Iedereen in het Spaanse dorpje verdient zijn brood met het organiseren van de allermooiste begrafenisplechtigheden. Na een voorspoedige periode zakt de markt in elkaar, als gevolg van het moderne leven en oprukkende crematoria. Ongeduldig wacht men op een nieuwe klant, maar deze sterft voor hij het dorp bereikt. In zijn plaats ontvangen ze per vergissing een voortvluchtige dief. Magisch realisme met een vleugje zwarte komedie.
Spanje, Argentinië, Brazilië 2005, lengte 95 minuten, regie Laura Mañá, met Lluís Homar, Ana Fernández, Ferran Rañé"
"The Promise (Wu ji)  Chen Kaige  "	12-10-2006	21:30	12-10-2006	23:30	"De Godin van Geluk belooft een arm meisje een leven vol rijkdom en aanzien, maar zonder echte liefde. Deze bezwering kan niet verbroken worden tenzij het onmogelijke gebeurt, sneeuw in de lente en de doden die tot leven komen. The Promise is een spectaculair en romantisch verhaal over liefde, loyaliteit en lotsbestemming. Regisseur Chen Kaige (Farewell to my Concubine) combineert moeiteloos verschillende actiestijlen en genres in dit fantasierijke en adembenemend mooie schouwspel.
Hong Kong/China 2005, lengte 128 minuten, regie Chen Kaige, met Cecilia Cheung, Dong-Kun Jang"
"The Promise (Wu ji)  Chen Kaige  "	13-10-2006	21:30	13-10-2006	23:30	"De Godin van Geluk belooft een arm meisje een leven vol rijkdom en aanzien, maar zonder echte liefde. Deze bezwering kan niet verbroken worden tenzij het onmogelijke gebeurt, sneeuw in de lente en de doden die tot leven komen. The Promise is een spectaculair en romantisch verhaal over liefde, loyaliteit en lotsbestemming. Regisseur Chen Kaige (Farewell to my Concubine) combineert moeiteloos verschillende actiestijlen en genres in dit fantasierijke en adembenemend mooie schouwspel.
Hong Kong/China 2005, lengte 128 minuten, regie Chen Kaige, met Cecilia Cheung, Dong-Kun Jang"
"The Promise (Wu ji)  Chen Kaige  "	14-10-2006	21:30	14-10-2006	23:30	"De Godin van Geluk belooft een arm meisje een leven vol rijkdom en aanzien, maar zonder echte liefde. Deze bezwering kan niet verbroken worden tenzij het onmogelijke gebeurt, sneeuw in de lente en de doden die tot leven komen. The Promise is een spectaculair en romantisch verhaal over liefde, loyaliteit en lotsbestemming. Regisseur Chen Kaige (Farewell to my Concubine) combineert moeiteloos verschillende actiestijlen en genres in dit fantasierijke en adembenemend mooie schouwspel.
Hong Kong/China 2005, lengte 128 minuten, regie Chen Kaige, met Cecilia Cheung, Dong-Kun Jang"
"The Promise (Wu ji)  Chen Kaige  "	17-10-2006	19:30	17-10-2006	21:30	"De Godin van Geluk belooft een arm meisje een leven vol rijkdom en aanzien, maar zonder echte liefde. Deze bezwering kan niet verbroken worden tenzij het onmogelijke gebeurt, sneeuw in de lente en de doden die tot leven komen. The Promise is een spectaculair en romantisch verhaal over liefde, loyaliteit en lotsbestemming. Regisseur Chen Kaige (Farewell to my Concubine) combineert moeiteloos verschillende actiestijlen en genres in dit fantasierijke en adembenemend mooie schouwspel.
Hong Kong/China 2005, lengte 128 minuten, regie Chen Kaige, met Cecilia Cheung, Dong-Kun Jang"
