ts	dir	nfiles
2015-11-26 11:27:46.719 +0100	C:\PCC\Nico\Projecten\dotcom	34
2015-11-26 11:27:46.766 +0100	\\eu.rabonet.com\fs\ISD\Corporate Banking IT\Users\VreezeN\notes	38
2015-11-26 11:27:51.727 +0100	C:\PCC\Nico\Projecten\dotcom	34
2015-11-26 11:27:51.733 +0100	\\eu.rabonet.com\fs\ISD\Corporate Banking IT\Users\VreezeN\notes	38
