"rampevery","maxconc"
1,100
2,50
3,34
4,25
5,20
6,17
7,15
8,13
9,12
10,10
11,19
12,17
13,16
14,15
15,14
16,13
17,12
18,12
19,11
20,10
21,15
22,14
23,14
24,13
25,12
26,12
27,12
28,11
29,11
30,10
31,13
32,13
33,13
34,12
35,12
36,12
37,12
38,11
39,11
40,12
41,13
42,12
43,13
44,12
45,12
46,12
47,12
48,11
49,11
50,10
51,12
52,12
53,12
54,12
55,11
56,12
57,12
58,11
59,12
60,10
61,13
62,12
63,12
64,12
65,12
66,11
67,14
68,11
69,11
70,10
71,13
72,12
73,12
74,12
75,11
76,12
77,16
78,12
79,11
80,12
81,12
82,12
83,14
84,11
85,12
86,12
87,14
88,11
89,12
90,10
91,19
92,12
93,13
94,11
95,11
96,11
97,11
98,11
99,11
100,10
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,10
111,12
112,12
113,12
114,12
115,11
116,11
117,11
118,12
119,12
120,12
