"rampevery","maxconc"
1,100
2,100
3,100
4,76
5,61
6,51
7,43
8,38
9,34
10,31
11,37
12,42
13,47
14,43
15,40
16,38
17,36
18,34
19,32
20,30
21,34
22,37
23,40
24,38
25,36
26,35
27,36
28,33
29,32
30,30
31,33
32,35
33,37
34,36
35,35
36,34
37,36
38,32
39,32
40,32
41,32
42,34
43,35
44,35
45,34
46,34
47,33
48,32
49,31
50,30
51,32
52,33
53,35
54,35
55,33
56,33
57,33
58,32
59,32
60,30
61,32
62,34
63,34
64,34
65,33
66,32
67,35
68,31
69,32
70,30
71,32
72,33
73,34
74,34
75,32
76,32
77,32
78,32
79,32
80,32
81,32
82,34
83,36
84,33
85,32
86,32
87,32
88,32
89,32
90,30
91,37
92,33
93,33
94,33
95,33
96,32
97,32
98,32
99,31
100,30
101,31
102,32
103,33
104,33
105,33
106,32
107,33
108,31
109,32
110,30
111,34
112,34
113,33
114,33
115,32
116,32
117,32
118,32
119,32
120,32
