"rampevery","maxconc"
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,96
11,96
12,96
13,97
14,97
15,97
16,97
17,98
18,98
19,98
20,96
21,96
22,96
23,96
24,96
25,96
26,97
27,98
28,97
29,97
30,95
31,96
32,96
33,96
34,96
35,96
36,97
37,97
38,97
39,97
40,96
41,96
42,96
43,96
44,96
45,96
46,96
47,96
48,96
49,96
50,95
51,96
52,96
53,96
54,97
55,96
56,96
57,97
58,97
59,98
60,96
61,96
62,96
63,96
64,96
65,96
66,96
67,98
68,96
69,97
70,95
71,97
72,96
73,96
74,97
75,96
76,96
77,100
78,97
79,97
80,96
81,96
82,96
83,100
84,97
85,96
86,96
87,96
88,96
89,96
90,95
91,100
92,96
93,96
94,97
95,96
96,96
97,97
98,97
99,96
100,100
101,96
102,96
103,96
104,96
105,96
106,96
107,97
108,97
109,97
110,95
111,100
112,97
113,97
114,97
115,96
116,96
117,96
118,96
119,96
120,96
