ip_address	ms from Sao Paulo	ms from Washington	location
54.230.39.191			
54.230.39.204			
54.230.39.206			
54.230.39.77			
54.230.48.119			
54.230.48.128		8	Virginia, US
54.230.48.135			
54.230.48.178			
54.230.48.242			
54.230.48.89			
54.230.48.92			
54.230.49.148			
54.230.49.203			
54.230.49.251			
54.230.49.34			
54.230.49.43			
54.230.49.49		8	Virginia, US
54.230.49.85			
54.230.50.138			
54.230.50.48			
54.230.50.52		7	Virginia, US
54.230.51.13			
54.230.51.184			
54.230.51.250			
54.230.51.32			
54.230.52.10			
54.230.52.116			
54.230.52.12		7	Virginia, US
54.230.52.125			
54.230.52.127			
54.230.52.138			
54.230.52.145			
54.230.52.146			
54.230.52.155			
54.230.52.157			
54.230.52.173			
54.230.52.183			
54.230.52.186			
54.230.52.189			
54.230.52.193			
54.230.52.21			
54.230.52.217			
54.230.52.22			
54.230.52.227			
54.230.52.237			
54.230.52.240			
54.230.52.242			
54.230.52.249			
54.230.52.25			
54.230.52.251			
54.230.52.27			
54.230.52.41			
54.230.52.42			
54.230.52.45			
54.230.52.5			
54.230.52.92			
54.230.52.99			
54.230.53.105		8	Virginia, US
54.230.53.131			
54.230.53.134			
54.230.53.148			
54.230.53.152			
54.230.53.160			
54.230.53.172			
54.230.53.181			
54.230.53.183			
54.230.53.192			
54.230.53.194			
54.230.53.217			
54.230.53.222			
54.230.53.225			
54.230.53.235			
54.230.53.247			
54.230.53.251			
54.230.53.29			
54.230.53.33			
54.230.53.38			
54.230.53.51			
54.230.53.56			
54.230.53.61			
54.230.53.78			
54.230.53.86			
54.230.53.95			
54.230.54.112			
54.230.54.118			
54.230.54.129		8	Virginia, US
54.230.54.145			
54.230.54.147			
54.230.54.15			
54.230.54.154			
54.230.54.157			
54.230.54.160			
54.230.54.165			
54.230.54.171			
54.230.54.178			
54.230.54.18			
54.230.54.207			
54.230.54.214			
54.230.54.215			
54.230.54.217			
54.230.54.225			
54.230.54.25			
54.230.54.28			
54.230.54.45			
54.230.54.53			
54.230.54.56			
54.230.54.59			
54.230.54.64			
54.230.54.72			
54.230.54.8			
54.230.54.94			
54.230.55.104			
54.230.55.122			
54.230.55.146			
54.230.55.155		8	Virginia, US
54.230.55.164			
54.230.55.205			
54.230.55.213			
54.230.55.232			
54.230.55.238			
54.230.55.35			
54.230.55.36			
54.230.55.52			
54.230.55.84			
54.230.56.115			
54.230.56.119			
54.230.56.123	23		Sao Paulo
54.230.56.126			
54.230.56.127			
54.230.56.128			
54.230.56.131			
54.230.56.133			
54.230.56.135			
54.230.56.147			
54.230.56.148			
54.230.56.150			
54.230.56.154			
54.230.56.155			
54.230.56.158			
54.230.56.17			
54.230.56.172			
54.230.56.174			
54.230.56.175			
54.230.56.183			
54.230.56.192			
54.230.56.199			
54.230.56.206			
54.230.56.21			
54.230.56.213			
54.230.56.22			
54.230.56.226			
54.230.56.230			
54.230.56.233			
54.230.56.241			
54.230.56.242			
54.230.56.244			
54.230.56.26			
54.230.56.28			
54.230.56.32			
54.230.56.37			
54.230.56.40			
54.230.56.47			
54.230.56.49			
54.230.56.5			
54.230.56.51			
54.230.56.53			
54.230.56.60			
54.230.56.66			
54.230.56.71			
54.230.56.75			
54.230.56.78			
54.230.56.85			
