# N	X	R	U
1	0.067	0.205	0.000
2	0.134	0.253	0.000
5	0.332	0.244	0.000
10	0.664	0.220	0.000
20	1.310	0.349	0.000
50	3.176	0.773	0.000
100	5.962	0.599	0.000
120	4.983	2.843	0.000
150	2.509	27.872	0.000
